Unnamed: 0,Organization Full Name,Organization Class,Responsible Party,Brief Title,Full Title,Overall Status_ph2,Start Date,Standard Age,Conditions,Primary Purpose,Interventions,Intervention Description,Study Type,Phases,Outcome Measure,Medical Subject Headings,Phases_clean,Interventions_clean,Overall Status_ph3,label_success
130318,"Gustave Roussy, Cancer Campus, Grand Paris",OTHER,SPONSOR,Trial Evaluating Maintenance Olaparib in Patients With Platinum-sensitive Advanced Non-small Cell Lung Cancer,A Randomized Double-blind Phase II Trial Evaluating Maintenance Olaparib Versus Placebo in Patients With Platinum-sensitive Advanced Non-small Cell Lung Cancer,UNKNOWN,2016-01,ADULT OLDER_ADULT,Non Small Cell Lung Cancer,TREATMENT,"Olaparib, Placebo","Unknown, Unknown",INTERVENTIONAL,PHASE2,Progression Free Survival,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,"olaparib, placebo",ACTIVE_NOT_RECRUITING,0
130318,"Gustave Roussy, Cancer Campus, Grand Paris",OTHER,SPONSOR,Trial Evaluating Maintenance Olaparib in Patients With Platinum-sensitive Advanced Non-small Cell Lung Cancer,A Randomized Double-blind Phase II Trial Evaluating Maintenance Olaparib Versus Placebo in Patients With Platinum-sensitive Advanced Non-small Cell Lung Cancer,UNKNOWN,2016-01,ADULT OLDER_ADULT,Non Small Cell Lung Cancer,TREATMENT,"Olaparib, Placebo","Unknown, Unknown",INTERVENTIONAL,PHASE2,Progression Free Survival,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,"olaparib, placebo",COMPLETED,1
130318,"Gustave Roussy, Cancer Campus, Grand Paris",OTHER,SPONSOR,Trial Evaluating Maintenance Olaparib in Patients With Platinum-sensitive Advanced Non-small Cell Lung Cancer,A Randomized Double-blind Phase II Trial Evaluating Maintenance Olaparib Versus Placebo in Patients With Platinum-sensitive Advanced Non-small Cell Lung Cancer,UNKNOWN,2016-01,ADULT OLDER_ADULT,Non Small Cell Lung Cancer,TREATMENT,"Olaparib, Placebo","Unknown, Unknown",INTERVENTIONAL,PHASE2,Progression Free Survival,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,"olaparib, placebo",WITHDRAWN,0
130448,The Methodist Hospital Research Institute,OTHER,SPONSOR_INVESTIGATOR,NECTAR Everolimus Plus Cisplatin in Triple (-) Breast Cancer,Neoadjuvant Phase II Study Of Everolimus Plus Cisplatin In Triple Negative Breast Cancer Patients With Residual Disease After Standard Chemotherapy,COMPLETED,2013-07,ADULT OLDER_ADULT,"Breast Cancer, Triple Negative Breast Cancer",TREATMENT,Everolimus,Unknown,INTERVENTIONAL,PHASE2,Tumor Response,Breast Neoplasms Triple Negative Breast Neoplasms,PHASE2,everolimus,UNKNOWN,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,RECRUITING,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,COMPLETED,1
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,UNKNOWN,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,COMPLETED,1
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,UNKNOWN,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,RECRUITING,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,COMPLETED,1
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,UNKNOWN,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,TERMINATED,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,RECRUITING,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,UNKNOWN,0
130653,Shandong Cancer Hospital and Institute,OTHER,PRINCIPAL_INVESTIGATOR,Capecitabine in HER-2 Positive Breast Cancer With Pathologic Residual Tumors After Preoperative Chemotherapy,"Randomised, Multicenter Phase II Study in Patients With HER-2 Positive Breast Cancer With Capecitabine Versus Observation With Pathologic Residual Tumors After Preoperative Chemotherapy",NOT_YET_RECRUITING,2018-10,ADULT OLDER_ADULT,HER2-positive Breast Cancer,TREATMENT,Capecitabine,observation,INTERVENTIONAL,PHASE2,disease free survival(DFS),"Breast Neoplasms Neoplasm, Residual",PHASE2,capecitabine,RECRUITING,0
131128,Montefiore Medical Center,OTHER,SPONSOR,Abiraterone With Discontinuation of Gonadotropin-Releasing Hormone Analogues in Metastatic Prostate Cancer,Abiraterone With Discontinuation of Gonadotropin-Releasing Hormone Analogues in Metastatic Prostate Cancer,ACTIVE_NOT_RECRUITING,2018-06-13,ADULT OLDER_ADULT,Prostatic Neoplasms,TREATMENT,"Abiraterone Acetate, Prednisone","Abiraterone Acetate with Prednisone and with Discontinuation of GnRH Analogue, Abiraterone Acetate with Prednisone and with Discontinuation of GnRH Analogue",INTERVENTIONAL,PHASE2,Proportion of patients with a non-castrate (>50 ng/dl) serum testosterone,Prostatic Neoplasms,PHASE2,"abiraterone acetate, prednisone",COMPLETED,1
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,COMPLETED,1
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,COMPLETED,1
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,COMPLETED,1
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,TERMINATED,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,UNKNOWN,0
131441,SWOG Cancer Research Network,NETWORK,SPONSOR,S0030: Capecitabine in Treating Older Patients W/Metastatic or Recurrent Colorectal Cancer That Cannot Be Surgically Removed,Protocol For Assessment Of Capecitabine For Advanced Colorectal Cancer In Patients Aged 70 Years And Older (And In A Cohort Of Patients Younger Than 60 Years),COMPLETED,2003-02,ADULT OLDER_ADULT,Colorectal Cancer,TREATMENT,capecitabine,"1,000 mg/m\^2/dose (2,000 mg/m\^2/day) BID, PO, on Days 1-14 of 21 day cycle",INTERVENTIONAL,PHASE2,Feasibility of enrolling patients aged 70 years or older to a Phase II trial including pharmacokinetic sampling,Colorectal Neoplasms,PHASE2,capecitabine,RECRUITING,0
131481,Xijing Hospital,OTHER,Unknown,Neoadjuvant Endostatin and Chemotherapy for Breast Cancer,"Phase II Trial of Neoadjuvant Recombinant Human Endostatin, Docetaxel and Epirubicin as First-line Therapy in Patients With Breast Cancer",COMPLETED,2008-02,ADULT OLDER_ADULT,Breast Cancer,TREATMENT,"docetaxel and epirubicin, docetaxel and epirubicin plus endostatin","docetaxel 75mg/m2, IV (in the vein) on day 1 of each 21 day cycle; epirubicin 60 mg/m2, IV (in the vein) on day 1 of each 21 day cycle, totally 3 cycles, docetaxel 75mg/m2, IV (in the vein) on day 1 of each 21 day cycle; epirubicin 60 mg/m2, IV (in the vein) on day 1 of each 21 day cycle; endostatin 7.5mg/m2, IV (in the vein) on 1st to 14th days of each 21 day cycle; every 3 weeks, totally 3 cycles",INTERVENTIONAL,PHASE2,clinical/pathological response,Breast Neoplasms,PHASE2,"docetaxel and epirubicin, docetaxel and epirubicin plus endostatin",UNKNOWN,0
131613,Norwegian Breast Cancer Group,OTHER,Unknown,Weekly Taxol Plus Xeloda® vs Taxotere q3wk Plus Xeloda® in the Treatment of Metastatic BC,Weekly Taxol® Plus Xeloda® Versus Taxotere® Every Three Weeks Plus Xeloda® in the Treatment of Metastatic Breast Cancer A Phase II/III Study,COMPLETED,2005-03,ADULT OLDER_ADULT,Breast Neoplasm,TREATMENT,"Paclitaxel weekly in combination with capecitabine, Docetaxel every 3 week in combination with capecitabine","Unknown, Unknown",INTERVENTIONAL,"PHASE2, PHASE3",Time to treatment failure Quality of life,Breast Neoplasms,"PHASE2, PHASE3","paclitaxel weekly in combination with capecitabine, docetaxel every 3 week in combination with capecitabine",COMPLETED,1
131731,Assistance Publique - Hôpitaux de Paris,OTHER,SPONSOR,Suicide Gene Therapy for Donor Lymphocytes Infusion After Allogeneic Hematopoietic Stem Cell Transplantation,Suicide Gene Therapy for Donor Lymphocytes Infusion After Allogeneic Hematopoietic Stem Cell Transplantation: a Phase I/II Clinical Study,COMPLETED,2010-02,ADULT OLDER_ADULT,Hematological Malignancy,TREATMENT,donor lymphocyte infusion,Donor T-cell transduction,INTERVENTIONAL,"PHASE1, PHASE2","Incidence of ""severe"" GHVD (acute grade >II or chronic extensive) following DLI-TK and treatment with GCV",Neoplasms Hematologic Neoplasms Suicide,"PHASE1, PHASE2",donor lymphocyte infusion,COMPLETED,1
131801,"University of California, Irvine",OTHER,SPONSOR_INVESTIGATOR,Intensity-Modulated Radiotherapy for Recurrent Head and Neck Cancer,A Phase II Protocol of Intensity-Modulated Radiotherapy for Treatment of Previously Irradiated Recurrent Head and Neck Cancer,WITHDRAWN,2004-10-14,ADULT OLDER_ADULT,Carcinoma of the Head and Neck,TREATMENT,IMRT,Unknown,INTERVENTIONAL,PHASE2,Identify acute and late toxicities and response rates,Head and Neck Neoplasms,PHASE2,imrt,COMPLETED,1
132736,Federation Francophone de Cancerologie Digestive,OTHER,SPONSOR,"Fluorouracil, Cisplatin, and Radiation Therapy or Gemcitabine and Oxaliplatin in Treating Patients With Nonmetastatic Biliary Tract Cancer That Cannot Be Removed By Surgery",Randomized Phase II-III Study of Chemoradiation With Fluorouracil and Cisplatin Versus Chemotherapy (Gemcitabine/Oxaliplatin) in Non Resectable But Non Metastatic Cancer of the Biliary Tract,COMPLETED,2005-10,ADULT OLDER_ADULT,"Extrahepatic Bile Duct Cancer, Gallbladder Cancer, Liver Cancer",TREATMENT,"cisplatin, gemcitabine hydrochloride, oxaliplatin","Unknown, Unknown, Unknown",INTERVENTIONAL,"PHASE2, PHASE3",Progression rate at 3 months Overall survival,Liver Neoplasms Gallbladder Neoplasms Bile Duct Neoplasms Cholangiocarcinoma,"PHASE2, PHASE3","cisplatin, gemcitabine hydrochloride, oxaliplatin",COMPLETED,1
132798,Fox Chase Cancer Center,OTHER,SPONSOR,Celecoxib in Preventing Head and Neck Cancer in Patients With Oral Leukoplakia,"A Phase IIb Cancer Prevention Trial of Celecoxib, a Selective COX-2 Inhibitor, in Oral Leukoplakia",COMPLETED,2003-11,ADULT OLDER_ADULT,"Head and Neck Cancer, Precancerous Condition",PREVENTION,celecoxib,Unknown,INTERVENTIONAL,PHASE2,Unknown,"Head and Neck Neoplasms Precancerous Conditions Leukoplakia Leukoplakia, Oral",PHASE2,celecoxib,SUSPENDED,0
132798,Fox Chase Cancer Center,OTHER,SPONSOR,Celecoxib in Preventing Head and Neck Cancer in Patients With Oral Leukoplakia,"A Phase IIb Cancer Prevention Trial of Celecoxib, a Selective COX-2 Inhibitor, in Oral Leukoplakia",COMPLETED,2003-11,ADULT OLDER_ADULT,"Head and Neck Cancer, Precancerous Condition",PREVENTION,celecoxib,Unknown,INTERVENTIONAL,PHASE2,Unknown,"Head and Neck Neoplasms Precancerous Conditions Leukoplakia Leukoplakia, Oral",PHASE2,celecoxib,COMPLETED,1
132801,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,SPONSOR,"Olaparib in Men With High-Risk Biochemically-Recurrent Prostate Cancer Following Radical Prostatectomy, With Integrated Biomarker Analysis","Phase II Study of Olaparib in Men With High-Risk Biochemically-Recurrent Prostate Cancer Following Radical Prostatectomy, With Integrated Biomarker Analysis",ACTIVE_NOT_RECRUITING,2017-03-01,ADULT OLDER_ADULT,Prostate,TREATMENT,Olaparib,"Olaparib will be dispensed to patients on Day 1 and every 28 days thereafter until the patient completes the study, withdraws from the study or closure of the study.",INTERVENTIONAL,PHASE2,"Response rate (PSA) to olaparib for patients with high-risk biochemically-recurrent prostate cancer. Measured by decline in PSA to 50% of baseline level, confirmed with a second measurement at least 4 weeks apart.",Prostatic Neoplasms,PHASE2,olaparib,COMPLETED,1
132801,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,SPONSOR,"Olaparib in Men With High-Risk Biochemically-Recurrent Prostate Cancer Following Radical Prostatectomy, With Integrated Biomarker Analysis","Phase II Study of Olaparib in Men With High-Risk Biochemically-Recurrent Prostate Cancer Following Radical Prostatectomy, With Integrated Biomarker Analysis",ACTIVE_NOT_RECRUITING,2017-03-01,ADULT OLDER_ADULT,Prostate,TREATMENT,Olaparib,"Olaparib will be dispensed to patients on Day 1 and every 28 days thereafter until the patient completes the study, withdraws from the study or closure of the study.",INTERVENTIONAL,PHASE2,"Response rate (PSA) to olaparib for patients with high-risk biochemically-recurrent prostate cancer. Measured by decline in PSA to 50% of baseline level, confirmed with a second measurement at least 4 weeks apart.",Prostatic Neoplasms,PHASE2,olaparib,COMPLETED,1
132991,"University of Alberta, Physical Education",OTHER,SPONSOR,Resistance Exercise Training for the Shoulder and Neck Following Surgery for Head and Neck Cancer,Randomized Controlled Trial of Progressive Resistance Exercise Training for Spinal Accessory Neurapraxia/ Neurectomy in Head and Neck Cancer Survivors,COMPLETED,2005-09,ADULT OLDER_ADULT,Head and Neck Neoplasms,TREATMENT,Exercise,Unknown,INTERVENTIONAL,"PHASE2, PHASE3","Pain and dysfunction (baseline, 12 weeks, 6 months, 12 months) Active and passive range of motion (baseline, 12 weeks) Muscular strength and endurance (baseline, 12 weeks) Quality of life (baseline, 12 weeks, 6 months, 12 months)",Head and Neck Neoplasms,"PHASE2, PHASE3",exercise,COMPLETED,1
132991,"University of Alberta, Physical Education",OTHER,SPONSOR,Resistance Exercise Training for the Shoulder and Neck Following Surgery for Head and Neck Cancer,Randomized Controlled Trial of Progressive Resistance Exercise Training for Spinal Accessory Neurapraxia/ Neurectomy in Head and Neck Cancer Survivors,COMPLETED,2005-09,ADULT OLDER_ADULT,Head and Neck Neoplasms,TREATMENT,Exercise,Unknown,INTERVENTIONAL,"PHASE2, PHASE3","Pain and dysfunction (baseline, 12 weeks, 6 months, 12 months) Active and passive range of motion (baseline, 12 weeks) Muscular strength and endurance (baseline, 12 weeks) Quality of life (baseline, 12 weeks, 6 months, 12 months)",Head and Neck Neoplasms,"PHASE2, PHASE3",exercise,COMPLETED,1
132991,"University of Alberta, Physical Education",OTHER,SPONSOR,Resistance Exercise Training for the Shoulder and Neck Following Surgery for Head and Neck Cancer,Randomized Controlled Trial of Progressive Resistance Exercise Training for Spinal Accessory Neurapraxia/ Neurectomy in Head and Neck Cancer Survivors,COMPLETED,2005-09,ADULT OLDER_ADULT,Head and Neck Neoplasms,TREATMENT,Exercise,Unknown,INTERVENTIONAL,"PHASE2, PHASE3","Pain and dysfunction (baseline, 12 weeks, 6 months, 12 months) Active and passive range of motion (baseline, 12 weeks) Muscular strength and endurance (baseline, 12 weeks) Quality of life (baseline, 12 weeks, 6 months, 12 months)",Head and Neck Neoplasms,"PHASE2, PHASE3",exercise,RECRUITING,0
